0.00,7.98816e+02
243.48,8.67714e+02
486.96,9.28321e+02
730.44,9.80637e+02
973.92,1.02466e+03
1217.40,1.06040e+03
1460.88,1.08784e+03
1704.36,1.10699e+03
1947.84,1.11785e+03
2191.32,1.12042e+03
2434.80,1.08494e+03
2678.28,1.04342e+03
2921.76,1.00056e+03
3165.24,9.56374e+02
3408.72,9.10851e+02
3652.20,8.63993e+02
3895.68,8.15800e+02
4139.16,7.66273e+02
4382.64,7.15410e+02
4626.12,6.63213e+02
4869.60,6.09681e+02
5113.08,5.54815e+02
5356.56,4.98614e+02
5600.04,4.41078e+02
5843.52,3.82207e+02
6087.00,3.22001e+02
6330.48,2.60461e+02
6573.96,1.97586e+02
6817.44,1.33377e+02
7060.92,6.78322e+01
7304.40,9.53044e-01
